category,score,course,teacher,college,avg_gpa,sample_count,teacher_score,rating_count,checkin_ratio,relevance,risk,course_easy,course_hard,url
软件相关,65.7,工程实践,邢卫,计算机科学与技术学院,4.75,500,2.27,69,59.4,相关,1,0.0,0.0,https://chalaoshi.de/t/1676/
软件相关,65.5,认识实习,胡兰青,计算机科学与技术学院,4.52,231,8.39,356,11.5,相关,2,0.0,0.0,https://chalaoshi.de/t/1161/
软件相关,65.4,面向公共管理的数据分析和建模方法,吴超,公共管理学院,4.36,348,7.86,15,13.3,相关,0,0.0,0.0,https://chalaoshi.de/t/5549/
软件相关,65.4,人工智能,吴飞,传媒与国际文化学院,4.3,341,7.37,48,22.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/5016/
软件相关,65.3,课程综合实践Ⅱ,宋宏伟,计算机科学与技术学院,4.9,83,,0,,相关,1,0.0,0.0,https://chalaoshi.de/t/1251/
软件相关,65.3,空中机器人,任沁源,控制科学与工程学院,4.33,331,9.54,28,14.3,相关,0,0.0,0.0,https://chalaoshi.de/t/5157/
软件相关,65.3,数据结构基础,陈翔,计算机科学与技术学院,4.15,446,9.76,58,19.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/4615/
软件相关,65.2,大数据如何改变世界,赵春晖,控制科学与工程学院,4.53,176,6.65,76,63.2,相关,0,6.5,3.4,https://chalaoshi.de/t/3984/
软件相关,65.1,工程伦理导论(B),王淼,物理学系,4.46,255,9.78,148,73.6,相关,0,7.5,7.8,https://chalaoshi.de/t/845/
软件相关,65.0,医药人工智能,朱峰,药学院,4.53,135,,0,,强相关,0,0.0,0.0,https://chalaoshi.de/t/5235/
软件相关,64.8,大数据分析,潘有能,公共管理学院,4.43,208,9.19,16,56.2,相关,0,2.0,0.0,https://chalaoshi.de/t/3578/
软件相关,64.6,基于人工智能的国画传承与创新,陈为,计算机科学与技术学院,4.43,45,4.76,42,28.6,强相关,0,6.0,0.0,https://chalaoshi.de/t/3375/
软件相关,64.6,面向对象程序设计,陈翔,建筑工程学院,4.3,493,4.13,21,23.8,强相关,0,0.0,0.0,https://chalaoshi.de/t/1047/
软件相关,64.5,课程综合实践Ⅰ,周亚金,计算机科学与技术学院,4.56,125,8.85,34,20.6,相关,1,0.0,0.0,https://chalaoshi.de/t/5580/
软件相关,64.5,信息安全导论,程鹏,控制科学与工程学院,4.27,137,8.26,8,37.5,强相关,0,0.0,0.0,https://chalaoshi.de/t/2450/
软件相关,64.4,数据挖掘与可视化,刘于思,传媒与国际文化学院,4.29,65,9.89,139,10.8,强相关,0,0.0,0.0,https://chalaoshi.de/t/121/
软件相关,64.3,人工智能、机器学习与数据挖掘的基础应用实训,邹宁,计算机科学与技术学院,4.51,76,9.42,21,57.1,强相关,0,0.0,0.0,https://chalaoshi.de/t/6263/
软件相关,64.3,计算机体系结构,卜凯,计算机科学与技术学院,4.35,293,9.89,130,33.1,相关,0,0.0,0.0,https://chalaoshi.de/t/755/
软件相关,64.0,人工智能基础,黄正行,生物医学工程与仪器科学学院,4.32,117,9.38,38,15.8,强相关,0,0.0,2.0,https://chalaoshi.de/t/3761/
软件相关,63.9,计算程序设计训练,库晓珂,航空航天学院,4.56,224,8.91,11,90.9,强相关,1,0.0,0.0,https://chalaoshi.de/t/5090/
软件相关,63.9,隐私保护与数据安全法,冯洋,光华法学院,4.41,101,9.25,34,29.4,相关,0,2.0,1.2,https://chalaoshi.de/t/6488/
软件相关,63.8,医学人工智能,黄正行,生物医学工程与仪器科学学院,4.52,32,9.38,38,15.8,强相关,2,5.0,1.2,https://chalaoshi.de/t/3761/
软件相关,63.8,计算机系统 Ⅰ,刘海风,计算机科学与技术学院,4.49,67,9.66,63,34.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/3042/
软件相关,63.8,微信小程序综合实践,陈建海,计算机科学与技术学院,4.4,319,9.84,471,20.0,强相关,1,2.0,5.0,https://chalaoshi.de/t/1902/
软件相关,63.6,智能控制系统设计与实践,韩涛,电气工程学院,4.76,68,6.94,8,37.5,相关,1,0.0,0.0,https://chalaoshi.de/t/4839/
软件相关,63.6,大数据解析与应用导论,赵春晖,控制科学与工程学院,4.49,425,6.65,76,63.2,相关,0,0.0,2.2,https://chalaoshi.de/t/3984/
软件相关,63.5,课程综合实践Ⅰ,申文博,计算机科学与技术学院,4.56,125,9.45,56,33.9,相关,1,0.0,0.0,https://chalaoshi.de/t/5929/
软件相关,63.4,计算机游戏程序设计,耿卫东,计算机科学与技术学院,4.58,86,5.24,15,66.7,强相关,0,0.0,0.0,https://chalaoshi.de/t/1071/
软件相关,63.4,程序设计专题,王建江,建筑工程学院,4.11,302,5.14,606,16.8,强相关,0,0.0,0.0,https://chalaoshi.de/t/3067/
软件相关,63.3,计算机视觉导论,周晓巍,计算机科学与技术学院,4.24,130,9.37,19,10.5,相关,0,0.0,0.0,https://chalaoshi.de/t/5650/
软件相关,63.3,人工智能基础（A）,戴俊飞,数学科学学院,4.12,142,9.84,341,31.4,强相关,0,0.0,0.0,https://chalaoshi.de/t/1956/
软件相关,63.2,计算机科学思想史,伍赛,计算机科学与技术学院,4.35,500,8.69,37,45.9,相关,0,0.0,0.0,https://chalaoshi.de/t/3362/
软件相关,62.9,心理学与人工智能,周吉帆,心理与行为科学系,4.44,129,6.37,41,48.8,强相关,0,5.5,6.6,https://chalaoshi.de/t/3471/
软件相关,62.9,计算机系统Ⅲ,申文博,计算机科学与技术学院,4.43,54,9.45,56,33.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/5929/
软件相关,62.8,统计与大数据分析,肖朦,物理学系,4.32,99,8.72,19,10.5,相关,0,5.0,3.2,https://chalaoshi.de/t/6322/
软件相关,62.8,计算机系统Ⅱ,周亚金,计算机科学与技术学院,4.29,93,8.85,34,20.6,强相关,0,0.0,0.0,https://chalaoshi.de/t/5580/
软件相关,62.7,跨媒体数据可视化,陈为,计算机科学与技术学院,4.47,183,4.76,42,28.6,相关,0,0.0,0.0,https://chalaoshi.de/t/3375/
软件相关,62.7,数据结构基础,李松,数学科学学院,4.14,142,8.86,82,11.0,强相关,0,2.0,1.2,https://chalaoshi.de/t/76/
软件相关,62.7,Python程序设计,沈睿,计算机科学与技术学院,4.01,500,9.97,440,44.3,强相关,0,0.0,0.0,https://chalaoshi.de/t/350/
软件相关,62.6,数据挖掘与可视化,周睿鸣,传媒与国际文化学院,4.29,65,8.08,63,17.5,强相关,0,0.0,0.0,https://chalaoshi.de/t/5466/
软件相关,62.5,信息安全导论,孙铭阳,控制科学与工程学院,4.31,159,,0,,强相关,0,0.0,0.0,https://chalaoshi.de/t/6479/
软件相关,62.5,数据结构基础,朱建科,计算机科学与技术学院,4.11,500,9.76,93,34.4,强相关,0,0.0,0.0,https://chalaoshi.de/t/2974/
软件相关,62.5,计算机科学基础（B）,沈睿,计算机科学与技术学院,4.09,500,9.97,440,44.3,相关,0,3.5,0.0,https://chalaoshi.de/t/350/
软件相关,62.4,大数据存储与计算技术,陈华钧,计算机科学与技术学院,4.21,411,7.07,36,22.2,相关,0,6.5,3.6,https://chalaoshi.de/t/2551/
软件相关,62.3,智能体育工程概论,王健,教育学院,4.74,24,8.55,7,28.6,相关,0,0.0,0.0,https://chalaoshi.de/t/1222/
软件相关,62.3,C程序设计基础及实验,张彤彧,计算机科学与技术学院,4.27,109,9.73,327,17.4,强相关,1,0.0,0.0,https://chalaoshi.de/t/1681/
软件相关,62.0,机器人前沿,周春琳,控制科学与工程学院,4.6,46,6.06,17,11.8,相关,0,0.0,0.0,https://chalaoshi.de/t/328/
软件相关,61.9,C程序设计基础及实验,陈建海,计算机科学与技术学院,4.16,204,9.84,471,20.0,强相关,1,5.0,1.2,https://chalaoshi.de/t/1902/
软件相关,61.6,操作系统原理与实践,申文博,计算机科学与技术学院,4.26,283,9.45,56,33.9,强相关,1,0.0,0.0,https://chalaoshi.de/t/5929/
软件相关,61.5,计算机科学思想史,巫英才,计算机科学与技术学院,4.4,500,7.72,27,66.7,相关,0,0.0,0.0,https://chalaoshi.de/t/5173/
软件相关,61.5,大气科学程序设计,贾晓静,地球科学学院,4.26,32,9.53,27,18.5,强相关,0,1.5,0.0,https://chalaoshi.de/t/846/
软件相关,61.4,信息安全导论,邓瑞龙,控制科学与工程学院,4.3,269,5.19,28,60.7,强相关,0,4.5,4.8,https://chalaoshi.de/t/6486/
软件相关,61.4,计算机图形学,吴鸿智,计算机科学与技术学院,4.2,184,8.79,75,49.3,相关,0,9.0,2.0,https://chalaoshi.de/t/3681/
软件相关,61.4,操作系统,季江民,计算机科学与技术学院,4.14,345,8.94,121,53.7,强相关,0,6.5,5.2,https://chalaoshi.de/t/850/
软件相关,61.3,软件保护技术,白洪欢,计算机科学与技术学院,3.93,65,9.81,911,10.8,强相关,0,0.0,0.0,https://chalaoshi.de/t/52/
软件相关,61.2,智能体育工程概论,彭玉鑫,教育学院,4.74,24,9.48,24,50.0,相关,0,0.0,0.0,https://chalaoshi.de/t/4928/
软件相关,61.2,计算机科学思想史,汤斯亮,信息科学与工程学院,4.4,500,,0,,相关,0,0.0,0.0,https://chalaoshi.de/t/4094/
软件相关,61.0,信息安全导论,程鹏,建筑工程学院,4.27,137,,0,,强相关,0,0.0,0.0,https://chalaoshi.de/t/442/
软件相关,61.0,经济统计软件及应用,曾涛,经济学院,4.09,206,8.92,50,8.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/4544/
软件相关,60.9,软体仿生机器人与智能材料,李铁风,航空航天学院,4.36,120,7.59,38,18.4,相关,0,0.0,0.0,https://chalaoshi.de/t/2/
软件相关,60.9,数据挖掘与机器学习,陈熹,管理学院,4.12,222,8.51,23,13.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/100/
软件相关,60.8,数据结构,姜伟,控制科学与工程学院,4.23,200,9.49,29,55.2,强相关,0,0.0,0.0,https://chalaoshi.de/t/397/
软件相关,60.8,人工智能引论,吴飞,计算机科学与技术学院,4.19,77,9.49,55,30.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/1877/
软件相关,60.7,计算机系统 Ⅰ,何晓飞,计算机科学与技术学院,4.49,67,,0,,强相关,0,0.0,0.0,https://chalaoshi.de/t/2278/
软件相关,60.7,跨媒体数据可视化,巫英才,计算机科学与技术学院,4.47,183,7.72,27,66.7,相关,0,0.0,0.0,https://chalaoshi.de/t/5173/
软件相关,60.7,操作系统原理与实践,周亚金,计算机科学与技术学院,4.46,42,8.85,34,20.6,强相关,1,0.0,0.0,https://chalaoshi.de/t/5580/
软件相关,60.7,人工智能及其工程应用,胡伟飞,机械工程学院,4.39,341,3.29,24,75.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/5859/
软件相关,60.6,土地信息系统,李艳,教育学院,4.4,118,7.67,6,33.3,相关,0,0.0,0.0,https://chalaoshi.de/t/2363/
软件相关,60.6,人工智能初步,徐从富,计算机科学与技术学院,4.19,190,7.31,61,24.6,强相关,0,0.0,0.0,https://chalaoshi.de/t/218/
软件相关,60.5,面向对象程序设计,许威威,计算机科学与技术学院,4.09,500,9.44,70,50.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/3982/
软件相关,60.3,人工智能基础,吴飞,计算机科学与技术学院,4.24,46,9.49,55,30.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/1877/
软件相关,60.2,工程伦理导论,王淼,人文学院,4.41,27,9.19,135,80.7,相关,0,24.5,5.6,https://chalaoshi.de/t/4245/
软件相关,60.2,计算机辅助工业设计,徐雯洁,计算机科学与技术学院,4.37,159,7.89,37,35.1,相关,0,0.0,0.0,https://chalaoshi.de/t/1642/
软件相关,60.2,计算机系统Ⅲ,周亚金,计算机科学与技术学院,4.15,136,8.85,34,20.6,强相关,0,0.0,0.0,https://chalaoshi.de/t/5580/
软件相关,60.2,信息安全原理与数学基础,张秉晟,计算机科学与技术学院,4.05,180,8.9,32,6.2,强相关,0,0.0,0.0,https://chalaoshi.de/t/6500/
软件相关,60.1,计算程序设计训练,陈建军,航空航天学院,4.53,115,4.94,9,77.8,强相关,1,0.0,0.0,https://chalaoshi.de/t/2492/
软件相关,60.0,面向对象程序设计,霍宇驰,计算机科学与技术学院,4.19,64,9.24,15,20.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/6945/
软件相关,60.0,软件质量保证与测试,胡兰青,计算机科学与技术学院,4.04,185,8.39,356,11.5,强相关,0,0.0,0.0,https://chalaoshi.de/t/1161/
软件相关,59.8,农业与生态环境大数据,史舟,环境与资源学院,4.36,257,5.26,8,62.5,相关,0,2.5,1.2,https://chalaoshi.de/t/2565/
软件相关,59.8,人工智能基础（B）,吴超,公共管理学院,4.25,42,7.86,15,13.3,强相关,0,0.0,0.0,https://chalaoshi.de/t/5549/
软件相关,59.7,土地信息系统,李艳,公共管理学院,4.4,118,8.71,18,33.3,相关,0,0.0,1.0,https://chalaoshi.de/t/281/
软件相关,59.7,数据结构基础,陈翔,建筑工程学院,4.15,446,4.13,21,23.8,强相关,0,0.0,0.0,https://chalaoshi.de/t/1047/
软件相关,59.6,计算机游戏程序设计,王锐,计算机科学与技术学院,4.15,122,7.36,6,16.7,强相关,0,0.0,0.0,https://chalaoshi.de/t/1444/
软件相关,59.5,Python程序设计（H）,陆汉权,计算机科学与技术学院,4.27,288,6.54,189,63.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/2187/
软件相关,59.5,软件工程管理,邵健,信息科学与工程学院,4.26,275,,0,,强相关,0,0.0,0.0,https://chalaoshi.de/t/4425/
软件相关,59.5,计算机系统概论,姜晓红,计算机科学与技术学院,4.16,500,5.73,142,62.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/1703/
软件相关,59.4,面板数据分析与Stata应用,方红生,经济学院,4.51,182,3.91,70,57.1,相关,0,0.0,0.0,https://chalaoshi.de/t/1797/
软件相关,59.4,课程综合实践Ⅰ,陈为,计算机科学与技术学院,4.45,171,4.76,42,28.6,相关,1,0.0,0.0,https://chalaoshi.de/t/3375/
软件相关,59.4,C程序设计专题,翁恺,计算机科学与技术学院,4.11,221,8.92,532,34.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/936/
软件相关,59.3,机器学习的多领域应用 - 人工智能基础,吴飞,计算机科学与技术学院,4.1,102,9.49,55,30.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/1877/
软件相关,59.3,机器人与人工智能导论,朱秋国,控制科学与工程学院,4.0,173,8.92,9,22.2,强相关,0,0.0,0.0,https://chalaoshi.de/t/4543/
软件相关,59.2,课程综合实践Ⅱ,陈为,计算机科学与技术学院,4.69,51,4.76,42,28.6,相关,1,0.0,0.0,https://chalaoshi.de/t/3375/
软件相关,59.2,人工智能：情感、艺术与设计,张克俊,计算机科学与技术学院,4.27,55,9.56,92,60.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/2299/
软件相关,59.2,软件工程基础,王新宇,计算机科学与技术学院,4.25,160,5.59,26,42.3,强相关,0,0.0,0.0,https://chalaoshi.de/t/1705/
软件相关,59.2,数据库系统,孙建伶,计算机科学与技术学院,4.14,315,9.84,89,40.4,强相关,0,0.0,1.2,https://chalaoshi.de/t/1381/
软件相关,59.1,人工智能逻辑,廖备水,人文学院,4.14,125,9.46,33,39.4,强相关,0,1.5,1.2,https://chalaoshi.de/t/3441/
软件相关,59.1,程序设计专题,肖少拥,计算机科学与技术学院,3.96,165,8.85,440,28.6,强相关,0,0.0,0.0,https://chalaoshi.de/t/1887/
软件相关,59.0,商业大数据分析,汤永川,计算机科学与技术学院,4.58,93,6.82,11,81.8,相关,0,0.0,0.0,https://chalaoshi.de/t/1992/
软件相关,59.0,土地信息系统,曹宇,公共管理学院,4.4,118,8.97,25,60.0,相关,0,0.0,0.0,https://chalaoshi.de/t/496/
软件相关,59.0,计算机体系结构,陈文智,计算机科学与技术学院,4.24,257,7.88,73,69.9,相关,0,3.0,0.0,https://chalaoshi.de/t/1368/
软件相关,59.0,高级程序设计,耿晨歌,生物医学工程与仪器科学学院,4.04,230,9.13,21,19.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/1568/
软件相关,59.0,数据结构基础,郑友怡,计算机科学与技术学院,3.99,241,8.13,104,11.5,强相关,0,0.0,0.0,https://chalaoshi.de/t/5811/
软件相关,58.9,机器学习,赵洲,计算机科学与技术学院,4.62,90,6.35,36,80.6,强相关,0,0.0,3.6,https://chalaoshi.de/t/3748/
软件相关,58.9,人工智能基础,况琨,计算机科学与技术学院,4.18,46,9.39,20,20.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/6663/
软件相关,58.6,人工智能基础（A）,陈建海,计算机科学与技术学院,4.12,293,9.84,471,20.0,强相关,0,0.0,1.2,https://chalaoshi.de/t/1902/
软件相关,58.6,软件技术基础,白剑,光电科学与工程学院,4.07,63,9.39,20,5.0,强相关,0,0.0,0.0,https://chalaoshi.de/t/2881/
软件相关,58.6,C程序设计基础及实验,肖少拥,计算机科学与技术学院,4.02,301,8.85,440,28.6,强相关,1,2.0,2.4,https://chalaoshi.de/t/1887/
软件相关,58.6,Java程序设计,潘肖煜,计算机科学与技术学院,3.91,473,9.57,210,18.6,强相关,0,0.0,0.0,https://chalaoshi.de/t/835/
软件相关,58.5,人工智能基础,郑能干,求是高等研究院,4.48,47,,0,,强相关,0,0.0,0.0,https://chalaoshi.de/t/3885/
软件相关,58.4,双足移动机器人技术及强化实践,周春琳,控制科学与工程学院,4.4,88,6.06,17,11.8,相关,1,0.0,0.0,https://chalaoshi.de/t/328/
软件相关,58.4,人工智能引论,吴飞,传媒与国际文化学院,4.19,77,7.37,48,22.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/5016/
软件相关,58.4,C程序设计基础及实验,王建江,建筑工程学院,4.06,178,5.14,606,16.8,强相关,1,0.0,0.0,https://chalaoshi.de/t/3067/
软件相关,58.3,计算机系统Ⅱ,吴磊,地球科学学院,4.46,36,5.41,16,43.8,强相关,0,0.0,0.0,https://chalaoshi.de/t/3494/
软件相关,58.3,C程序设计基础及实验,俞欢军,实验室与设备管理处,4.18,85,9.58,123,30.9,强相关,1,0.0,0.0,https://chalaoshi.de/t/1276/
软件相关,58.2,数据分析与可视化,袁泉,管理学院,4.25,159,9.51,26,26.9,相关,0,0.0,1.0,https://chalaoshi.de/t/5855/
软件相关,58.2,人工智能伦理与安全,潘恩荣,马克思主义学院,4.19,109,,0,,强相关,0,0.0,0.0,https://chalaoshi.de/t/3963/
软件相关,58.1,IT工程伦理和项目管理,周成伟,控制科学与工程学院,4.11,219,8.85,26,38.5,相关,0,0.0,0.0,https://chalaoshi.de/t/6177/
软件相关,58.1,能源工程伦理与管理,黄群星,能源工程学院,4.1,253,9.24,15,33.3,相关,0,0.0,0.0,https://chalaoshi.de/t/471/
软件相关,58.1,人工智能基础（C）,楼东武,信息与电子工程学院,4.1,63,9.91,224,19.6,强相关,0,0.0,0.0,https://chalaoshi.de/t/231/
软件相关,58.0,智能财务研究方法,肖炜麟,管理学院,4.5,41,9.76,59,64.4,相关,0,0.0,0.0,https://chalaoshi.de/t/29/
软件相关,58.0,信息安全管理,夏莹杰,计算机科学与技术学院,4.36,80,7.61,38,86.8,强相关,0,1.5,0.0,https://chalaoshi.de/t/3467/
软件相关,58.0,智能仪器设计与开发,张涛,建筑工程学院,4.26,131,9.42,21,38.1,相关,0,0.0,0.0,https://chalaoshi.de/t/1721/
软件相关,58.0,信息安全与隐私保护,潘有能,公共管理学院,4.16,74,9.19,16,56.2,强相关,0,3.0,1.2,https://chalaoshi.de/t/3578/
软件相关,57.8,人工智能基础,吴飞,传媒与国际文化学院,4.24,46,7.37,48,22.9,强相关,0,0.0,0.0,https://chalaoshi.de/t/5016/
软件相关,57.7,计算机网络,陆系群,计算机科学与技术学院,4.01,159,9.5,36,19.4,强相关,0,0.0,0.0,https://chalaoshi.de/t/876/
软件相关,57.7,计算机科学基础（A）,白洪欢,计算机科学与技术学院,3.9,185,9.81,911,10.8,相关,0,0.0,0.0,https://chalaoshi.de/t/52/
软件相关,57.7,人工智能基础（A）,耿光超,电气工程学院,3.85,74,8.99,10,10.0,强相关,0,6.5,1.2,https://chalaoshi.de/t/5652/
软件相关,57.6,人工智能实验,胡浩基,信息与电子工程学院,4.08,120,9.78,100,17.0,强相关,1,0.0,0.0,https://chalaoshi.de/t/591/
软件相关,57.5,智能仪器设计与开发,张涛,控制科学与工程学院,4.26,131,9.04,59,45.8,相关,0,0.0,0.0,https://chalaoshi.de/t/3177/
软件相关,57.4,课程综合实践Ⅰ,巫英才,计算机科学与技术学院,4.45,171,7.72,27,66.7,相关,1,0.0,0.0,https://chalaoshi.de/t/5173/
软件相关,57.3,大规模信息系统构建技术导论,张寅,计算机科学与技术学院,4.34,85,6.19,38,44.7,相关,0,0.0,0.0,https://chalaoshi.de/t/3692/
软件相关,57.2,机器人与智能系统综合实践,任沁源,控制科学与工程学院,4.3,70,9.54,28,14.3,相关,1,0.0,0.0,https://chalaoshi.de/t/5157/
软件相关,57.2,数值模拟与机器学习基础,李刚,海洋学院,4.29,27,9.34,18,33.3,强相关,0,0.0,0.0,https://chalaoshi.de/t/6042/
